column_canon,column_name,count,n_missing,min,q1,median,q3,max,mean,std_pop,iqr,iqr_low,iqr_high,n_outliers_iqr,pct_outliers_iqr,n_outliers_z>=3,pct_outliers_z>=3,n_outliers_rule,n_outliers_any,pct_outliers_any,has_extreme_values
shp,shp,1800,0,0.0,0.0,0.0,1.0,9.0,0.8705555555555555,1.390211703391587,1.0,-1.5,2.5,213,11.833333333333334,26,1.4444444444444444,0,213,11.833333333333334,True
blocks,blocks,1800,0,1.0,25.0,38.0,60.0,212.0,49.11944444444445,35.7884938015034,35.0,-27.5,112.5,137,7.611111111111111,33,1.8333333333333333,0,137,7.611111111111111,True
ota,ota,1800,0,0.0,0.0,0.0,1.0,9.0,0.8188888888888889,1.071592215604042,1.0,-1.5,2.5,128,7.111111111111111,15,0.8333333333333334,0,128,7.111111111111111,True
shg,shg,1800,0,0.0,0.0,0.0,1.0,6.0,0.4577777777777778,0.909453777186911,1.0,-1.5,2.5,84,4.666666666666667,30,1.6666666666666667,0,84,4.666666666666667,True
hits,hits,1800,0,1.0,36.0,59.0,91.0,460.0,70.26166666666667,48.11943332884219,55.0,-46.5,173.5,77,4.277777777777778,27,1.5,0,77,4.277777777777778,True
sha,sha,1800,0,0.0,0.0,0.0,1.0,6.0,0.4127777777777778,0.8070199333594646,1.0,-1.5,2.5,64,3.5555555555555554,64,3.5555555555555554,0,64,3.5555555555555554,True
ppg,ppg,1800,0,0.0,1.0,3.0,6.0,32.0,4.3438888888888885,4.026311572213836,5.0,-6.5,13.5,61,3.388888888888889,19,1.0555555555555556,0,61,3.388888888888889,True
pim,pim,1800,0,0.0,16.0,26.0,40.0,139.0,30.945,19.456297966354132,24.0,-20.0,76.0,58,3.2222222222222223,27,1.5,0,58,3.2222222222222223,True
a,a,1800,0,7.0,19.0,26.0,36.0,100.0,28.91777777777778,13.331121297990215,17.0,-6.5,61.5,51,2.8333333333333335,24,1.3333333333333333,0,51,2.8333333333333335,True
fow,fow,1800,0,0.0,0.0,15.0,301.0,1090.0,160.84333333333333,238.21175666014167,301.0,-451.5,752.5,51,2.8333333333333335,16,0.8888888888888888,0,51,2.8333333333333335,True
otg,otg,1800,0,0.0,0.0,0.0,1.0,6.0,0.5377777777777778,0.8080948483628712,1.0,-1.5,2.5,50,2.7777777777777777,50,2.7777777777777777,0,50,2.7777777777777777,True
