feature,metric,score,p_value
rank,spearman_rho,-0.8933032904919775,0.0
age,spearman_rho,0.026315074448021284,0.2644770482121602
gp,spearman_rho,0.4644062503398032,5.748880641179811e-97
g,spearman_rho,0.7457922910074658,1.65057e-319
a,spearman_rho,0.8658553257084677,0.0
pim,spearman_rho,0.16472007746197315,2.0401903097224214e-12
pm,spearman_rho,0.20422976964392553,2.112683829138712e-18
esg,spearman_rho,0.6610427559854183,1.5016802937728469e-226
ppg,spearman_rho,0.6540257438636137,3.376182262118135e-220
shg,spearman_rho,0.07570408053348776,0.001307929579879731
gwg,spearman_rho,0.5352114821365901,5.931675845677872e-134
otg,spearman_rho,0.3565988318925591,4.165685211412157e-55
esa,spearman_rho,0.7808977422958742,0.0
ppa,spearman_rho,0.7074135206872652,2.8817105605409322e-273
sha,spearman_rho,0.07089009269443965,0.0026184256329496282
gwa,spearman_rho,0.6275363655834322,1.1142454018267492e-197
ota,spearman_rho,0.410969887348726,2.6888019326774763e-74
esp,spearman_rho,0.8995752128744158,0.0
ppp,spearman_rho,0.7902775989494251,0.0
shp,spearman_rho,0.07263336976900091,0.0020457730272460846
gwp,spearman_rho,0.7509355547268729,0.0
otp,spearman_rho,0.5085298998476409,5.537962428615866e-119
ppp_pct,spearman_rho,0.43075587714692876,3.2064276777390445e-82
g_per60,spearman_rho,0.48878002311478813,9.946765721386296e-109
a_per60,spearman_rho,0.7140305412592242,1.0828958682415524e-280
p_per60,spearman_rho,0.7547966931762519,0.0
esg_per60,spearman_rho,0.41567657567922806,3.913568039435338e-76
esa_per60,spearman_rho,0.5808670631665821,6.473153005305525e-163
esp_per60,spearman_rho,0.6188285264361086,9.579023351472279e-191
ppg_per60,spearman_rho,0.4021063552298637,6.455091704988125e-71
ppa_per60,spearman_rho,0.4278213552208643,5.186957116632938e-81
ppp_per60,spearman_rho,0.5609569457864452,9.939516410558297e-150
g_pergp,spearman_rho,0.6185678836914649,1.532919862161298e-190
a_pergp,spearman_rho,0.7363500216609817,2.2133350072939254e-307
p_pergp,spearman_rho,0.8678685363577606,0.0
shots,spearman_rho,0.74814386902553,1.4e-322
sh_pct,spearman_rho,0.34443857176477505,2.687603988084791e-51
hits,spearman_rho,-0.02439892400994907,0.30085874574745586
blocks,spearman_rho,0.03969491524454781,0.09225778559699743
fow,spearman_rho,0.20880908606390317,3.4999542765826844e-19
fol,spearman_rho,0.21395548686151808,4.410953498282954e-20
fo_pct,spearman_rho,0.17217811092947835,1.9119238602370794e-13
toi_min_total,spearman_rho,0.2800722404913091,1.1375359542796019e-33
seasonId_prev,spearman_rho,0.3110745778182246,5.522951345952279e-30
gp_prev,spearman_rho,0.1363016988889821,1.044495163435083e-06
d_gp,spearman_rho,0.31043983375025,7.305637759509276e-30
g_prev,spearman_rho,0.43808151996941874,7.06594712921039e-61
d_g,spearman_rho,0.34455953149163854,7.978171699580932e-37
a_prev,spearman_rho,0.4565805784252112,1.3047264571866171e-66
d_a,spearman_rho,0.40505441677929566,1.7407864343104842e-51
pts_prev,spearman_rho,0.528500923831017,1.4206827470769969e-92
d_pts,spearman_rho,0.4366362868717592,1.9158541192827734e-60
shots_prev,spearman_rho,0.38362032035183263,6.2237395084873614e-46
d_shots,spearman_rho,0.333400946141454,1.8921138050182708e-34
hits_prev,spearman_rho,-0.1266728519624206,5.7550766201271655e-06
d_hits,spearman_rho,0.16629865026010193,2.350523242254014e-09
blocks_prev,spearman_rho,-0.12122421924800086,1.4337063789056206e-05
d_blocks,spearman_rho,0.21290362196202123,1.5914704765678448e-14
fo_pct_prev,spearman_rho,0.1357313371456028,1.1594765382597658e-06
d_fo_pct,spearman_rho,0.05522484518215472,0.04875624847706959
sh_pct_prev,spearman_rho,0.2594866532148642,4.752527979818122e-21
d_sh_pct,spearman_rho,0.12317632878124907,1.0383297231156885e-05
pm_prev,spearman_rho,0.10093024259255558,0.0003083313333812526
d_pm,spearman_rho,0.11025291317897062,8.032217416775184e-05
